n,bytes,impl,ns_per_call,ns_per_elem,gb_per_s,cycles_per_elem,rsd_pct,best_ns_per_call
8,32,serial_welford,9.4661,1.183263,3.3805,4.271133,0.20,9.4349
8,32,avx2_welford,15.1573,1.894656,2.1112,6.838950,0.04,15.1485
8,32,scalar_sumsq,3.0347,0.379337,10.5447,1.369265,3.30,2.9886
8,32,serial_autovec,9.3966,1.174575,3.4055,4.239758,0.49,9.3862
8,32,avx2_welford_o3,13.9496,1.743706,2.2940,6.294090,0.10,13.9381
8,32,avx2_welford_opt_f,13.9990,1.749875,2.2859,6.316358,0.14,13.9696
8,32,avx2_welford_opt_d,10.4070,1.300875,3.0749,4.695653,0.06,10.4005
8,32,avx2_welford_fma1,19.1476,2.393450,1.6712,8.639406,0.04,19.1369
32,128,serial_welford,62.3589,1.948715,2.0526,7.034096,0.10,62.3320
32,128,avx2_welford,18.5108,0.578463,6.9149,2.088020,0.07,18.5041
32,128,scalar_sumsq,9.5318,0.297867,13.4288,1.075182,0.80,9.3727
32,128,serial_autovec,62.3914,1.949732,2.0516,7.037758,0.04,62.3569
32,128,avx2_welford_o3,17.8288,0.557152,7.1794,2.011101,0.07,17.8220
32,128,avx2_welford_opt_f,39.3000,1.228125,3.2570,4.433047,0.22,39.2726
32,128,avx2_welford_opt_d,16.2549,0.507966,7.8745,1.833553,0.02,16.2517
32,128,avx2_welford_fma1,21.6776,0.677423,5.9047,2.445231,0.43,21.6537
128,512,serial_welford,400.8422,3.131580,1.2773,11.303766,1.24,393.5362
128,512,avx2_welford,35.5990,0.278117,14.3824,1.003894,0.04,35.5834
128,512,scalar_sumsq,46.5785,0.363894,10.9922,1.313515,1.43,46.1388
128,512,serial_autovec,393.4737,3.074014,1.3012,11.095969,0.76,393.1903
128,512,avx2_welford_o3,36.2274,0.283027,14.1329,1.021615,0.13,36.2165
128,512,avx2_welford_opt_f,47.8978,0.374201,10.6894,1.350719,0.41,47.8774
128,512,avx2_welford_opt_d,36.3140,0.283703,14.0993,1.024053,0.03,36.3068
128,512,avx2_welford_fma1,34.8798,0.272499,14.6790,0.983610,0.88,34.2750
512,2048,serial_welford,1728.7035,3.376374,1.1847,12.187378,0.61,1725.5298
512,2048,avx2_welford,131.9780,0.257770,15.5177,0.930446,0.03,131.9292
512,2048,scalar_sumsq,205.6115,0.401585,9.9605,1.449563,0.18,205.3118
512,2048,serial_autovec,1728.9733,3.376901,1.1845,12.189284,0.26,1726.4329
512,2048,avx2_welford_o3,134.8843,0.263446,15.1834,0.950936,0.03,134.8278
512,2048,avx2_welford_opt_f,86.4522,0.168852,23.6894,0.609490,0.10,86.3957
512,2048,avx2_welford_opt_d,115.1986,0.224997,17.7780,0.812151,1.48,114.9004
